PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W460-Curve_Description,W460-Fit_LogAC50,W460-Fit_HillSlope,W460-Fit_R2,W460-Fit_InfiniteActivity,W460-Fit_ZeroActivity,W460-Fit_CurveClass,W460-Excluded_Points,W460-Max_Response,W460-Activity at 0.0004332835 uM,W460-Activity at 0.00130 uM,W460-Activity at 0.00388 uM,W460-Activity at 0.00491 uM,W460-Activity at 0.012 uM,W460-Activity at 0.035 uM,W460-Activity at 0.057 uM,W460-Activity at 0.105 uM,W460-Activity at 0.315 uM,W460-Activity at 0.650 uM,W460-Activity at 0.956 uM,W460-Activity at 2.842 uM,W460-Activity at 4.858 uM,W460-Activity at 8.495 uM,W460-Activity at 25.28 uM,W460-Activity at 36.32 uM,W460-Activity at 76.68 uM,W460-Activity at 182.0 uM,W460-Activity at 407.0 uM,W460-Activity at 910.0 uM,W460-Activity at 2034.7 uM,W460-Activity at 4832.4 uM,W460-Activity at 10805.3 uM,W460-Activity at 24160.5 uM,W460-Activity at 54023.0 uM,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0004332835 uM,Ratio-Activity at 0.00130 uM,Ratio-Activity at 0.00388 uM,Ratio-Activity at 0.00490 uM,Ratio-Activity at 0.012 uM,Ratio-Activity at 0.035 uM,Ratio-Activity at 0.057 uM,Ratio-Activity at 0.105 uM,Ratio-Activity at 0.315 uM,Ratio-Activity at 0.650 uM,Ratio-Activity at 0.956 uM,Ratio-Activity at 2.842 uM,Ratio-Activity at 4.857 uM,Ratio-Activity at 8.495 uM,Ratio-Activity at 25.28 uM,Ratio-Activity at 36.32 uM,Ratio-Activity at 76.68 uM,Ratio-Activity at 182.0 uM,Ratio-Activity at 406.9 uM,Ratio-Activity at 909.9 uM,Ratio-Activity at 2034.6 uM,Ratio-Activity at 4832.0 uM,Ratio-Activity at 10804.6 uM,Ratio-Activity at 24159.8 uM,Ratio-Activity at 54023.0 uM,W530-Curve_Description,W530-Fit_LogAC50,W530-Fit_HillSlope,W530-Fit_R2,W530-Fit_InfiniteActivity,W530-Fit_ZeroActivity,W530-Fit_CurveClass,W530-Excluded_Points,W530-Max_Response,W530-Activity at 0.0004332835 uM,W530-Activity at 0.00130 uM,W530-Activity at 0.00388 uM,W530-Activity at 0.00490 uM,W530-Activity at 0.012 uM,W530-Activity at 0.035 uM,W530-Activity at 0.057 uM,W530-Activity at 0.105 uM,W530-Activity at 0.315 uM,W530-Activity at 0.650 uM,W530-Activity at 0.956 uM,W530-Activity at 2.842 uM,W530-Activity at 4.857 uM,W530-Activity at 8.495 uM,W530-Activity at 25.28 uM,W530-Activity at 36.32 uM,W530-Activity at 76.68 uM,W530-Activity at 182.0 uM,W530-Activity at 406.9 uM,W530-Activity at 909.9 uM,W530-Activity at 2034.6 uM,W530-Activity at 4832.0 uM,W530-Activity at 10804.6 uM,W530-Activity at 24159.8 uM,W530-Activity at 54023.0 uM,Compound QC
1322,17389413,6565,C=C(CCl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08082747-01/21170388,,Inactive,,,,,,,,,,4,,10.775,-5.1705,,35.9401,,75.4692,59.9278,24.1291,9.3279,20.6524,-13.6921,0.2978,,7.7484,13.2221,-28.4309,23.5035,10.775,,,,,,,,,,,,,,,4,,0.7273,-1.1152,,-9.6,,-1.487,3.2609,6.1151,-4.2146,7.9137,-1.6949,2.439,,-2.0833,4.8951,8.7591,-6.81,0.7273,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 1 0 0,3.4086,-3.9857,,20.8465,,37.5749,26.2246,7.0341,6.3559,3.9692,-8.7942,-3.6245,,3.1091,1.8377,-24.21,13.52,3.4086,,,,,,,,,QC'd by NIEHS/NTP
1323,17389414,12018,C(C(CCl)Cl)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07930268-01/21170432,,Inactive,,,,,,,,,,4,,-19.8238,-46.205,,40.3561,,42.3997,-20.5473,-11.9009,-34.97,-13.7074,-1.5776,-43.5059,,0.3201,-13.7842,-12.6565,2.5025,-19.8238,,,,,,,,,,,,,,,4,0 0 1 1 0 0 0 0 0 0 0 0 0 0,-13.6477,-6.5107,,0.1264,,4.8008,-18.4697,-4.1507,-6.5534,-9.1119,-23.0497,-20.7126,,-15.3152,-9.5413,-23.953,-18.9768,-13.6477,,,,,,,,,,,,,,,4,,-1.4446,-9.8697,,25.3248,,24.8704,9.6781,4.1197,-6.7346,4.63,22.8354,-6.1327,,14.6495,1.6022,12.071,12.695,-1.4446,,,,,,,,,QC'd by NIEHS/NTP
1324,17389415,11746,C(C(C(=O)O)Br)Br,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08003775-01/21169847,,Inactive,,,,,,,,,,4,,23.7852,-2.869,,5.1119,,52.5821,-6.2054,40.6652,41.665,-24.8982,12.8758,-5.7313,,29.2373,15.0445,15.5849,22.7963,23.7852,,,,,,,,,,,,,,,4,1 1 0 0 0 0 0 0 0 0 0 0 0 0,10.7834,-13.2085,,5.6198,,4.6354,0.9125,0.8082,-8.5994,0.4485,0.657,-11.4897,,-3.1636,-0.9928,0.6533,12.9431,10.7834,,,,,,,,,,,,,,,4,,-0.552,0.4219,,-6.1941,,15.6523,-9.2841,14.4607,21.2499,-19.6776,0.0778,-2.6134,,10.6127,1.9054,1.4112,-4.5205,-0.552,,,,,,,,,QC'd by NIEHS/NTP
1325,17389416,13618,C1=CC(=C(C(=C1Cl)O)Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07930231-01/21170679,,Inactive,,,,,,,,,,4,,31.5552,16.3856,,27.4891,,20.1734,16.2009,20.0674,38.3244,21.5591,31.3688,19.8633,,10.3878,-2.8006,42.4754,37.4761,31.5552,,,,,,,,,,,,,,,4,,13.7391,10.4177,,2.2482,,-7.4261,-0.3953,2.936,4.6022,-1.3806,3.1567,10.5576,,6.051,1.4594,4.2541,11.2145,13.7391,,,,,,,,,,,,,,,4,,6.4666,0.5873,,10.9664,,13.9616,7.3925,7.3359,17.1654,10.9715,14.4228,1.8966,,-1.5177,-5.9364,20.0285,8.8332,6.4666,,,,,,,,,QC'd by NIEHS/NTP
1326,17389418,13636,C1=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08582951-01/21170256,,Inactive,,,,,,,,,,4,,45.8769,-2.9517,,87.4339,,48.9684,63.1929,-6.3844,-0.2636,2.5362,-22.7973,-1.1266,,-27.8203,-5.9477,33.5414,44.3891,45.8769,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 1 0 0 0 0 0 0,23.0909,13.9851,,-6.8,,-10.9219,-5.2609,-1.6403,5.2797,8.4317,-13.5254,2.1812,,7.375,26.6713,17.708,14.4875,23.0909,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0 0 0,8.0357,-10.3378,,44.7892,,32.4725,36.0083,-3.4508,-3.3655,-4.9253,-5.3224,-2.9513,,-21.6742,-18.8123,5.8699,9.9494,8.0357,,,,,,,,,QC'd by NIEHS/NTP
1327,17389419,8330,C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08548280-01/21170398,,Inactive,,,,,,,,,,4,,15.6763,-2.3918,,-26.9718,,29.067,19.6737,19.5584,10.5591,-32.6171,-9.3379,32.7607,,27.0599,-38.5364,0.6661,16.3055,15.6763,,,,,,,,,,,,,,,4,1 0 0 0 1 0 0 0 0 0 0 0 0 1,-0.9644,-12.1736,,1.181,,-1.393,-13.6364,2.3005,-16.8098,-10.2895,-0.1139,-2.6002,,-5.0162,11.0216,3.0409,4.4484,-0.9644,,,,,,,,,,,,,,,4,,9.9312,7.9722,,-12.4648,,16.2405,21.2847,9.9667,19.09,-13.5158,-4.8252,21.6253,,19.5608,-27.0187,-1.8541,4.008,9.9312,,,,,,,,,QC'd by NIEHS/NTP
1328,17389420,27582,C1=CC(=C(C(=C1O)Cl)Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08582973-01/21170030,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0 0 1,26.1694,16.8813,,56.1881,,59.8798,48.4557,-18.3937,-17.5791,-17.6512,-18.7992,-15.019,,-17.4459,2.382,-10.3769,1.4018,26.1694,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0 0 0,14.5455,6.4981,,-14.8,,-21.3829,-20.3188,-8.3597,-16.4291,-6.5612,-13.4237,-2.0767,,-2.7917,5.6364,-0.3358,-5.491,14.5455,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0 0 0,3.6558,4.0966,,34.6,,46.7753,40.2244,-5.5521,1.0107,-6.7687,-2.3288,-7.7688,,-9.3329,-3.1001,-6.5478,0.7504,3.6558,,,,,,,,,QC'd by NIEHS/NTP
1329,17389422,13428,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)[N+](=O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07930277-01/21169487,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 0 0 0 1,-20.1749,-3.5286,,42.7096,,-4.1918,-9.1489,-16.267,-25.0593,-32.969,-27.6853,-18.5875,,-25.2788,12.7881,7.2783,0.0432,-20.1749,,,,,,,,,,,,,,,4,0 0 0 0 0 0 1 0 0 0 0 0 0 1,1.9921,-4.2303,,-4.7715,,-13.1522,-10.3426,-11.0046,-11.5669,10.9378,-1.6936,-6.2043,,3.184,4.2718,3.4679,15.5496,1.9921,,,,,,,,,,,,,,,4,0 0 0 0 0 0 1 0 0 0 1 0 0 0,-11.51,2.3589,,22.2105,,6.7459,2.7511,-0.2506,-4.5181,-23.6011,-13.2009,-4.9444,,-15.8087,5.0844,3.0169,-11.6818,-11.51,,,,,,,,,QC'd by NIEHS/NTP
1330,17389424,6403,CCC(C)(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08082665-01/21170049,,Inactive,,,,,,,,,,4,,-12.3684,0.1709,,40.7071,,-3.159,-0.6714,-7.8402,-21.6139,11.0166,3.4195,-25.2542,,0.5281,-21.0966,0.6715,-13.6158,-12.3684,,,,,,,,,,,,,,,4,,-4.1265,12.9171,,12.019,,3.9952,2.4045,4.5341,3.783,10.2895,18.08,-3.6716,,1.544,3.6637,11.1927,-0.1473,-4.1265,,,,,,,,,,,,,,,4,,-3.4651,-6.7203,,10.7461,,-4.206,-1.3512,-6.3246,-11.9905,0.1543,-8.2936,-11.252,,-0.3675,-13.4707,-6.0368,-9.1159,-3.4651,,,,,,,,,QC'd by NIEHS/NTP
1331,17389425,19871,CCC(C(C)(C)C)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07944053-01/21169842,,Inactive,,,,,,,,,,4,1 0 1 0 0 0 0 0 0 0 0 0 0 1,6.7645,-19.8788,,53.9412,,64.1892,22.9374,22.6671,-13.2973,-11.0991,17.12,-0.2478,,-6.7648,-0.7045,10.7897,5.0881,6.7645,,,,,,,,,,,,,,,4,,9.2806,6.4608,,-5.6285,,-4.6917,6.357,-9.8587,1.9884,7.7672,13.219,7.598,,0.6354,-10.5655,-1.2781,-3.3632,9.2806,,,,,,,,,,,,,,,4,1 0 1 0 0 0 0 0 0 0 0 0 0 0,-9.7129,-21.7634,,22.2581,,29.7453,0.5561,13.4775,-14.9076,-18.7131,-6.203,-12.5294,,-12.6977,-0.4681,-0.6591,-4.8586,-9.7129,,,,,,,,,QC'd by NIEHS/NTP
1332,17389426,11684,CCC(C)(C)C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07944065-01/21170126,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 0 0 0 1,11.7761,4.5131,,62.5991,,11.7407,35.645,-11.1379,-11.118,-12.8603,2.8666,-27.1303,,-3.1785,-4.3467,-14.4672,-0.5189,11.7761,,,,,,,,,,,,,,,4,,-3.8735,-4.7387,,-2.419,,-9.1996,-11.4625,-1.6564,-1.8672,1.9407,-9.6054,1.9295,,6.7894,4.3782,0.8511,5.8821,-3.8735,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 1 0 0 0 0 0 1,12.6219,9.1598,,33.1188,,14.8091,31.0777,-2.2175,-1.3165,-5.9946,12.3929,-14.0339,,-3.9143,-2.7207,-6.5002,-3.9152,12.6219,,,,,,,,,QC'd by NIEHS/NTP
1333,17389427,7791,CCCCC(CC)CNCC(CC)CCCC,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08082728-01/21170080,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1 1 0 0 0 0 0 0,35.7203,-15.1762,,-11.668,,38.3,49.9164,28.5983,33.155,3.3996,45.5618,-5.0332,,-5.9393,23.1086,18.727,40.3853,35.7203,,,,,,,,,,,,,,,4,0 0 0 0 0 0 1 0 0 0 1 0 0 1,4.6957,-10.8042,,2.8047,,10.3854,-0.7576,4.281,2.6699,21.9069,3.3336,0.65,,5.8547,27.2271,11.6485,7.8485,4.6957,,,,,,,,,,,,,,,4,,8.9276,-8.5482,,-14.5913,,4.5504,19.2451,5.5034,9.1007,-18.192,16.2429,-10.7777,,-15.3109,-11.6034,-4.6941,6.0879,8.9276,,,,,,,,,QC'd by NIEHS/NTP
1334,17389428,11660,CC(C)(Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08082733-01/21169955,,Inactive,,,,,,,,,,4,,12.7163,-24.2612,,88.7141,,45.0143,19.8785,34.4008,21.6155,12.6251,7.7113,-10.2835,,22.8351,17.9565,10.6865,-4.8576,12.7163,,,,,,,,,,,,,,,4,1 0 0 0 1 0 0 0 0 0 0 0 0 1,-3.2411,0.3953,,-6.8047,,-7.0397,-9.7497,1.4744,-11.099,-2.8422,-4.3505,-7.2702,,-7.9381,2.8428,-2.1595,11.5064,-3.2411,,,,,,,,,,,,,,,4,,1.172,-21.5568,,38.5994,,19.9341,9.2128,9.9641,12.2637,0.6416,-0.5872,-9.5109,,10.7733,-0.4191,-1.0965,-20.3941,1.172,,,,,,,,,QC'd by NIEHS/NTP
1335,17389430,18692,C(C(CO)(CBr)CBr)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB02509338-01/21170697,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 1 0 0 0 1,-5.7218,1.6775,,-20.631,,-4.1635,29.4769,17.3781,22.9519,9.0411,2.6027,17.8321,,-4.5613,19.0575,19.6638,17.514,-5.7218,,,,,,,,,,,,,,,4,,-10.948,-3.9821,,15.0156,,6.7985,-2.9612,-2.6275,0.6953,4.207,5.28,1.0811,,-2.0705,0.4086,-7.3143,-6.2259,-10.948,,,,,,,,,,,,,,,4,1 0 0 1 0 0 0 0 0 0 0 0 0 0,-5.8642,-6.2277,,-26.7303,,-16.6424,6.849,1.4167,2.2326,-7.8394,-11.6275,-0.636,,-11.8791,-0.0062,6.4108,1.0119,-5.8642,,,,,,,,,QC'd by NIEHS/NTP
1336,17389432,95170,C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07942141-01/21170627,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 0 0 0 1,33.3665,3.6704,,71.6448,,5.6656,-6.2062,10.4457,1.9917,-40.1281,3.2725,-32.4558,,-30.7149,-10.3654,-20.2394,-37.1649,33.3665,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 1 1 0 0 0 1,4.4774,1.1168,,6.0774,,4.4625,5.144,-4.3284,-5.0092,-5.4075,-4.065,-18.4913,,8.9635,-7.6765,-10.0628,-14.7484,4.4774,,,,,,,,,,,,,,,4,0 1 0 0 0 0 1 0 0 0 0 0 0 1,13.1357,0.5137,,24.5668,,-1.9489,-7.1567,7.774,4.0681,-19.5892,3.915,-7.0327,,-22.4908,-1.6132,-5.951,-14.486,13.1357,,,,,,,,,QC'd by NIEHS/NTP
1337,17389433,37034,C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08000683-01/21170644,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 1 0 0 0 0 1,49.9637,4.1455,,28.8556,,59.7087,45.4725,-1.5246,-2.836,-13.1212,-25.1007,-46.46,,-14.521,6.5421,7.1252,34.5248,49.9637,,,,,,,,,,,,,,,4,,-3,2.7546,,-11,,6.8439,8.2029,7.3453,-0.6552,-18.1942,0.8644,18.2683,,-13.0833,-0.5105,1.0438,-5.2652,-3,,,,,,,,,,,,,,,4,,25.6871,-2.1297,,16.357,,20.4013,13.726,-7.7056,-2.9933,1.0568,-16.7788,-35.308,,-3.472,0.6499,0.0517,15.9817,25.6871,,,,,,,,,QC'd by NIEHS/NTP
1338,17389434,155166,C1=C(C(=CC(=C1Br)Br)Br)OC2=CC(=C(C=C2Br)Br)Br,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07942396-01/21169449,,Inactive,,,,,,,,,,4,,26.8942,-6.637,,81.2954,,7.1216,27.8316,9.893,17.8195,11.6486,5.7754,-22.9135,,-4.9343,-7.1358,14.6663,26.8744,26.8942,,,,,,,,,,,,,,,4,,17.2273,1.7045,,18.9,,-4.2435,5.558,-6.018,18.3391,1.536,1.9237,-4.5453,,-1.0694,23.7727,12.5584,4.7437,17.2273,,,,,,,,,,,,,,,4,1 1 0 0 0 0 0 0 0 0 0 0 0 1,2.5979,-4.6376,,22.5637,,5.0594,9.9063,9.4754,-1.3398,4.8161,1.7864,-10.533,,-3.0943,-17.5578,-0.4278,7.9128,2.5979,,,,,,,,,QC'd by NIEHS/NTP
1339,17389435,17111,CN(C)CCOC(=O)C=C,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08548272-01/21170650,,Inactive,,,,,,,,,,4,,19.9925,19.2912,,24.4103,,32.7414,67.8433,34.7606,39.3453,17.5708,-4.7368,-13.4805,,47.4822,23.9801,3.8478,36.7549,19.9925,,,,,,,,,,,,,,,4,,-23.4463,-7.3003,,-2.7918,,3.1086,-17.2526,-17.5889,-18.9726,-10.3946,-8.907,-3.8872,,-7.7418,-5.9498,-2.6779,-0.7301,-23.4463,,,,,,,,,,,,,,,4,,23.1824,12.1304,,11.7125,,11.8572,43.8152,27.5831,31.0663,12.3623,-0.5671,-8.2427,,27.1382,13.1815,-0.0087,14.3342,23.1824,,,,,,,,,QC'd by NIEHS/NTP
1340,17389437,62725,CC(C)CC1=NC=CS1,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08082738-01/21169459,,Inactive,,,,,,,,,,4,,10.6549,-15.4926,,68.6009,,24.4921,-1.7116,38.989,2.6466,-4.9406,-30.3653,14.1065,,-11.5742,3.9028,5.8883,-8.2907,10.6549,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 1 0 1 0 0 0,0.4968,-6.7435,,-7.8305,,-13.8067,-1.7087,-4.6333,-2.4833,-8.5902,5.3289,11.6302,,4.964,-7.5312,7.8279,-1.062,0.4968,,,,,,,,,,,,,,,4,1 0 0 1 0 0 0 0 0 0 0 0 0 0,3.5914,-5.4627,,33.8778,,19.4443,-1.8785,22.7488,1.9947,1.0513,-20.9677,-1.2253,,-11.5547,5.4138,-3.5631,-8.0782,3.5914,,,,,,,,,QC'd by NIEHS/NTP
1341,17389438,8196,CCCCOCCOCCSC#N,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08582914-01/21170500,,Inactive,,,,,,,,,,4,,17.7202,22.4918,,51.6396,,16.9984,6.4046,20.0042,27.6495,0.793,38.5852,5.8021,,22.1398,-6.8542,16.8116,4.1689,17.7202,,,,,,,,,,,,,,,4,0 0 0 1 0 0 0 1 0 0 0 0 0 0,-17.2648,10.5838,,0.1897,,-0.5686,13.5375,-5.0189,-5.8486,-4.2995,-19.2001,0.2176,,3.6342,-10.9152,-11.4307,-8.2834,-17.2648,,,,,,,,,,,,,,,4,,14.3854,2.2389,,20.3382,,5.8078,-4.2816,9.4848,14.3097,1.8373,28.4672,2.2666,,8.1976,-2.481,9.7519,3.7518,14.3854,,,,,,,,,QC'd by NIEHS/NTP
1342,17389439,8004,CCCC=C,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07930254-01/21170178,,Inactive,,,,,,,,,,4,,25.4937,-14.2274,,62.6183,,84.9727,-10.5613,8.14,39.2704,11.8928,14.1425,18.8558,,18.7606,22.1181,29.5967,22.9917,25.4937,,,,,,,,,,,,,,,4,,20.1257,10.978,,-1.6198,,4.6583,22.2759,-4.0457,4.0017,0.9903,1.0379,11.8381,,3.5108,15.3285,9.2007,22.8992,20.1257,,,,,,,,,,,,,,,4,,3.9748,-11.714,,36.056,,46.136,-15.5723,12.0914,23.5244,9.7946,12.1963,6.2551,,12.0234,5.2549,14.4384,-1.9265,3.9748,,,,,,,,,QC'd by NIEHS/NTP
1343,17389440,8125,CCCCCCC=C,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08007422-01/21169723,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 1 0 0 0 0 0,14.6217,60.2176,,9.6081,,-13.3428,7.5691,-8.8087,-36.4536,8.6786,36.483,-21.3144,,9.2173,-1.374,23.46,0.4116,14.6217,,,,,,,,,,,,,,,4,0 1 0 0 0 1 0 0 0 0 0 0 0 0,-3.7905,-16.2758,,-2.2996,,-18.878,-4.5402,-19.3327,2.7104,-21.491,-14.4284,-15.5776,,-8.9635,-0.9094,3.169,-11.7749,-3.7905,,,,,,,,,,,,,,,4,,8.385,43.585,,4.5294,,2.0383,5.1188,5.497,-19.5085,17.009,29.0934,-4.9802,,8.1348,-2.0657,8.7864,3.2158,8.385,,,,,,,,,QC'd by NIEHS/NTP
1344,17389441,12589,CCCCCC[N+](=O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08082710-01/21169623,,Inactive,,,,,,,,,,4,,35.5586,22.2736,,101.384,,26.098,41.9052,34.2726,24.3025,-17.8007,29.4544,19.8563,,17.1006,25.3452,5.6192,42.5571,35.5586,,,,,,,,,,,,,,,4,,-9.7391,-3.7263,,-5.4482,,-29.3768,-21.7062,-16.2453,-21.0773,-11.9288,-22.8177,-23.798,,-9.5232,-19.6412,-7.1738,-4.0461,-9.7391,,,,,,,,,,,,,,,4,1 0 0 0 0 0 1 0 0 0 0 0 0 1,26.3524,15.1983,,50.1277,,34.2528,37.6123,30.5933,28.4202,-2.6154,34.2201,28.8353,,15.4526,27.9517,7.6531,22.938,26.3524,,,,,,,,,QC'd by NIEHS/NTP
1345,17389442,13432,CC1=C(C2=CC=CC=C2C=C1)[N+](=O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07980825-01/21170050,,Inactive,,,,,,,,,,4,,21.1203,5.2769,,69.4434,,59.6798,8.1293,-18.1958,13.197,29.0093,-18.6567,2.8185,,21.939,19.6674,34.2956,11.4866,21.1203,,,,,,,,,,,,,,,4,,-6.9091,0.2028,,-13.4909,,-14.6671,-0.3953,18.6069,-10.2403,-8.3715,1.4176,-9.7878,,-11.1742,-6.6434,2.223,4.8876,-6.9091,,,,,,,,,,,,,,,4,,16.6098,3.9577,,42.1852,,41.4731,5.6424,-17.0154,15.2669,22.2247,-9.97,8.3749,,19.9587,15.6938,17.9245,1.5165,16.6098,,,,,,,,,QC'd by NIEHS/NTP
1346,17389443,16932,CC1=C2C=CC3=CC=CC4=C3C2=C(C=C1)C=C4,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08582963-01/21170406,,Inactive,,,,,,,,,,4,,23.2895,40.1785,,87.03,,48.2826,57.8887,41.8378,3.4937,22.4818,33.6507,59.8425,,13.1366,-5.5331,63.3373,50.8061,23.2895,,,,,,,,,,,,,,,4,,1.5204,-5.9862,,-27.5342,,-22.3431,-13.7458,-14.0924,-3.505,-13.373,-8.2053,-7.4045,,-18.1842,-12.9831,-16.3137,-9.7836,1.5204,,,,,,,,,,,,,,,4,,8.4443,22.4239,,59.0725,,37.0189,36.1891,29.0832,2.7538,17.2925,20.6136,34.8747,,14.6614,0.9713,44.4612,27.7625,8.4443,,,,,,,,,QC'd by NIEHS/NTP
1347,17389444,12574,C1=CC(=CC(=C1)I)[N+](=O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08082702-01/21169805,,Inactive,,,,,,,,,,4,,12.9798,-1.5968,,11.9505,,-1.2646,79.9507,16.2279,-28.8023,4.9347,10.182,49.7579,,3.983,2.4023,18.7992,10.5903,12.9798,,,,,,,,,,,,,,,4,,-8.5455,-22.1784,,-13.6,,4.9591,-5.6667,-3.5683,2.8582,-3.5683,-16.7119,19.101,,-4.2778,-12.6014,-4.5109,-12.2079,-8.5455,,,,,,,,,,,,,,,4,,9.9463,11.7827,,10.9862,,-5.7544,40.7107,8.6152,-16.2015,2.5911,15.0095,12.0225,,2.0126,6.8905,10.8206,8.6001,9.9463,,,,,,,,,QC'd by NIEHS/NTP
1348,17389445,11597,CCCCC=C,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08082712-01/21169478,,Inactive,,,,,,,,,,4,0 1 1 0 0 0 0 0 0 0 0 0 0 1,-7.3619,-31.851,,31.5978,,35.9196,18.8025,13.41,-11.6304,-12.8139,-6.2672,-9.1529,,11.986,20.0259,29.778,-1.9665,-7.3619,,,,,,,,,,,,,,,4,0 0 0 0 1 0 1 0 0 0 0 0 0 1,9.9708,-2.7078,,-2.1383,,9.1881,-9.6484,-25.8016,-14.9,-24.3627,-13.4128,-7.7257,,-3.8966,-5.2879,-7.493,-2.4293,9.9708,,,,,,,,,,,,,,,4,0 0 0 0 1 0 0 0 0 0 0 0 0 1,-12.4314,-17.4917,,11.8406,,7.9602,14.0566,27.6698,2.0521,8.9806,4.8809,-1.4718,,7.3365,12.8869,21.5322,-4.4131,-12.4314,,,,,,,,,QC'd by NIEHS/NTP
